Seq,Task ID,Title,Category,Screen,Route,Page Entry,Depends On,Requirement Refs,Detail File,Detail File Exists,Wave ID
64,COMP-COMMON-HEADER,공통 Header(내비게이션+계정 진입),COMPONENT,,,,AUTH-SUPABASE-CLIENT,REQ-NFR-ACC-003;REQ-NFR-ACC-006,TASK-COMP-COMMON-HEADER.md,TRUE,W04
65,COMP-COMMON-FOOTER,공통 Footer(3컬럼+하단 바),COMPONENT,,,,,,TASK-COMP-COMMON-FOOTER.md,TRUE,W01
1,PAGE-SCR001,`/` 메인 페이지 조립,PAGE_OWNER,SCR-001,/,src/app/page.tsx,COMP-COMMON-HEADER;COMP-COMMON-FOOTER;COMP-SCR001-HERO-SEARCH;COMP-SCR001-DEST-DOMESTIC;COMP-SCR001-DEST-GLOBAL;COMP-SCR001-THEME-CHIPS;COMP-SCR001-SAFETY-CARDS;COMP-SCR001-DEST-DRAWER;COMP-SCR001-MATE-SUMMARY;COMP-SCR001-ABOUT-SUMMARY;DATA-DESTINATIONS;DATA-SAFETY;DATA-REPRESENTATIVE,REQ-FUNC-DEST-001;REQ-FUNC-DEST-002;REQ-FUNC-DEST-003;REQ-FUNC-DEST-004;REQ-FUNC-DEST-005;REQ-FUNC-SAFETY-001;REQ-FUNC-SAFETY-002;REQ-FUNC-SAFETY-003;REQ-FUNC-SAFETY-004;REQ-FUNC-SAFETY-005;REQ-NFR-CONTENT-001;REQ-NFR-CONTENT-002;REQ-NFR-CONTENT-005,TASK-PAGE-SCR001.md,TRUE,W08
2,PAGE-SCR002,`/about` 대표 소개 조립,PAGE_OWNER,SCR-002,/about,src/app/about/page.tsx,COMP-COMMON-HEADER;COMP-COMMON-FOOTER;COMP-SCR002-PROFILE-HERO;COMP-SCR002-METRICS;COMP-SCR002-PHILOSOPHY;COMP-SCR002-TIMELINE;COMP-SCR002-COUNTRY-CHIPS;COMP-SCR002-GALLERY;COMP-SCR002-MEMORABLE-CTA;DATA-REPRESENTATIVE,REQ-FUNC-ABOUT-001;REQ-FUNC-ABOUT-002;REQ-FUNC-ABOUT-003,TASK-PAGE-SCR002.md,TRUE,W10
3,PAGE-SCR003,`/travel-tools` 통합 여행 준비 조립,PAGE_OWNER,SCR-003,/travel-tools,src/app/travel-tools/page.tsx,COMP-COMMON-HEADER;COMP-COMMON-FOOTER;COMP-SCR003-INTRO-TABS;COMP-SCR003-FLIGHT-FORM;COMP-SCR003-HOTEL-FORM;COMP-SCR003-TIPS;COMP-SCR003-MATE-COMPOSE;COMP-SCR003-LOGIN-GUARD;API-EXTERNAL-URLS;AUTH-ADULT-VERIFICATION,REQ-FUNC-FLIGHT-001;REQ-FUNC-FLIGHT-002;REQ-FUNC-FLIGHT-003;REQ-FUNC-FLIGHT-004;REQ-FUNC-FLIGHT-005;REQ-FUNC-FLIGHT-006;REQ-FUNC-HOTEL-001;REQ-FUNC-HOTEL-002;REQ-FUNC-HOTEL-003;REQ-FUNC-HOTEL-004;REQ-FUNC-HOTEL-005;REQ-FUNC-HOTEL-006;REQ-FUNC-HOTEL-007;REQ-FUNC-MATE-001;REQ-FUNC-MATE-003;REQ-FUNC-MATE-009,TASK-PAGE-SCR003.md,TRUE,W12
4,PAGE-SCR004,`/mates` 동행 조회 조립,PAGE_OWNER,SCR-004,/mates,src/app/mates/page.tsx,COMP-COMMON-HEADER;COMP-COMMON-FOOTER;COMP-SCR004-INTRO-CTA;COMP-SCR004-FILTER;COMP-SCR004-LIST;COMP-SCR004-DETAIL;COMP-SCR004-JOIN-REQUEST;COMP-SCR004-REPORT;COMP-SCR004-BLOCK;COMP-SCR004-GUIDE-SAFETY;API-MATE-POSTS;API-MATE-APPLICATIONS;API-REPORTS;API-BLOCKS,REQ-FUNC-MATE-002;REQ-FUNC-MATE-004;REQ-FUNC-MATE-005;REQ-FUNC-MATE-006;REQ-FUNC-MATE-007;REQ-FUNC-MATE-008,TASK-PAGE-SCR004.md,TRUE,W15
5,PAGE-SCR005,`/account` 계정·관리 조립,PAGE_OWNER,SCR-005,/account,src/app/account/page.tsx,COMP-COMMON-HEADER;COMP-COMMON-FOOTER;COMP-SCR005-AUTH;COMP-SCR005-PROFILE;COMP-SCR005-MY-ACTIVITY;COMP-SCR005-ADMIN;AUTH-SUPABASE-CLIENT;AUTH-ADULT-VERIFICATION;API-MATE-APPLICATIONS;API-REPORTS;API-BLOCKS;API-EXTERNAL-URLS,REQ-FUNC-MATE-001;REQ-FUNC-MATE-005;REQ-FUNC-ADMIN-003;REQ-NFR-PRIV-001;REQ-NFR-PRIV-002;REQ-NFR-PRIV-003;REQ-NFR-PRIV-005;REQ-NFR-SEC-004,TASK-PAGE-SCR005.md,TRUE,W17
6,COMP-SCR001-HERO-SEARCH,검색 Hero,COMPONENT,SCR-001,/,,,REQ-FUNC-DEST-001;REQ-FUNC-DEST-002,TASK-COMP-SCR001-HERO-SEARCH.md,TRUE,W07
7,COMP-SCR001-DEST-DOMESTIC,국내 인기 여행지 카드 6개,COMPONENT,SCR-001,/,,DATA-DESTINATIONS,REQ-FUNC-DEST-001;REQ-FUNC-DEST-002;REQ-FUNC-DEST-004,TASK-COMP-SCR001-DEST-DOMESTIC.md,TRUE,W06
8,COMP-SCR001-DEST-GLOBAL,해외 인기 여행지 카드 6개,COMPONENT,SCR-001,/,,DATA-DESTINATIONS,REQ-FUNC-DEST-001;REQ-FUNC-DEST-002;REQ-FUNC-DEST-004,TASK-COMP-SCR001-DEST-GLOBAL.md,TRUE,W06
